
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
78.0   78   0.0500   |   0.05420   0.45559   |   0.29016   14.19536  
79.0   79   0.0500   |   0.06440   0.36178   |   0.15735   15.01997  
80.0   80   0.0500   |   0.03847   1.21016   |   1.17416   14.34596  
81.0   81   0.0500   |   0.06674   0.11506   |   0.10857   13.67860  
82.0   82   0.0500   |   0.03753   1.06603   |   1.36279   14.50454  
83.0   83   0.0500   |   0.07388   0.34830   |   0.69994   15.67350  
84.0   84   0.0500   |   0.04851   0.44795   |   0.17100   16.93501  
85.0   85   0.0500   |   0.03996   1.63335   |   0.16992   14.57580  
86.0   86   0.0500   |   0.04891   0.12087   |   0.65562   13.43659  
87.0   87   0.0500   |   0.05521   0.18711   |   0.60002   13.21529  
88.0   88   0.0500   |   0.03677   1.22608   |   0.31753   12.72053  
89.0   89   0.0500   |   0.07003   0.45278   |   0.71240   14.74595  
90.0   90   0.0500   |   0.04010   0.12497   |   0.79385   15.22504  
91.0   91   0.0500   |   0.03989   0.16816   |   1.40544   16.26556  
92.0   92   0.0500   |   0.05863   4.87055   |   1.11045   17.97288  
93.0   93   0.0500   |   0.05721   3.58017   |   1.08923   15.70160  
94.0   94   0.0500   |   0.07051   0.29027   |   0.46415   7.99078  
95.0   95   0.0500   |   0.04568   0.23411   |   0.65178   13.23820  
96.0   96   0.0500   |   0.06854   0.14762   |   2.50753   17.47608  
97.0   97   0.0500   |   0.05255   0.72326   |   0.91794   14.92269  
98.0   98   0.0500   |   0.05972   0.07409   |   0.56543   19.32479  
99.0   99   0.0500   |   0.05548   0.08609   |   1.23374   16.21457  
100.0   100   0.0500   |   0.06491   0.11665   |   0.45162   14.59843  
101.0   101   0.0500   |   0.04811   0.24239   |   0.57489   14.69871  
102.0   102   0.0500   |   0.04860   0.25096   |   0.34455   11.19799  
103.0   103   0.0500   |   0.05852   0.61495   |   0.75309   12.84104  
104.0   104   0.0500   |   0.05907   0.10498   |   0.29084   15.77987  
105.0   105   0.0500   |   0.06221   0.23411   |   0.11125   18.17644  
106.0   106   0.0500   |   0.11131   0.24129   |   0.76366   12.89841  
